Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
N1,20/08/17,NAC Breda,PSV Eindhoven,1,4,A,1,1,D,10,5.25,1.29,9.25,5.25,1.33,7.2,5,1.35,9,5,1.3,9.35,5.71,1.35,8,5.5,1.3,9.5,5.5,1.3,33,10,8.39,5.71,5.33,1.35,1.31,25,1.5,1.44,2.8,2.67,15,1.5,1.99,1.94,1.94,1.9,10.61,6.5,1.29
N1,20/08/17,Sparta Rotterdam,Zwolle,1,1,D,1,1,D,2.55,3.3,2.7,2.5,3.5,2.75,2.3,3.4,2.85,2.5,3.4,2.55,2.64,3.56,2.74,2.5,3.4,2.6,2.6,3.4,2.7,35,2.64,2.51,3.56,3.36,2.95,2.68,33,1.77,1.71,2.25,2.1,14,0,1.92,1.87,2,1.96,2.44,3.53,3.02
N1,20/08/17,Utrecht,Willem II,2,0,H,2,0,H,1.5,3.9,7,1.55,4.2,6,1.55,4,5.5,1.53,3.8,5.75,1.53,4.35,6.93,1.57,3.8,5.5,1.55,4,6.5,34,1.57,1.52,4.35,4.01,7,6.18,33,1.88,1.82,2.05,1.97,14,-1,1.94,1.9,1.99,1.95,1.48,4.71,7.34
N1,25/08/17,NAC Breda,Sparta Rotterdam,2,2,D,1,0,H,2.3,3.4,3,2.35,3.6,2.9,2.2,3.3,3.1,2.3,3.3,2.87,2.42,3.49,3.08,2.38,3.4,2.75,2.38,3.5,2.9,35,2.43,2.34,3.6,3.4,3.1,2.93,33,1.89,1.78,2.15,2.02,15,-0.25,2.08,2.05,1.89,1.83,2.66,3.53,2.73
N1,26/08/17,Den Haag,Heerenveen,1,2,A,0,0,D,3.2,3.4,2.2,3.1,3.5,2.25,2.75,3.3,2.4,3,3.4,2.2,3.21,3.59,2.3,2.75,3.4,2.38,3,3.5,2.3,34,3.21,3,3.61,3.43,2.4,2.27,29,1.72,1.67,2.24,2.15,14,0.25,1.95,1.89,2.02,1.98,3.21,3.72,2.25
N1,26/08/17,Heracles,Excelsior,2,2,D,1,1,D,2.05,3.5,3.4,2.05,3.6,3.5,2.1,3.3,3.3,2.1,3.5,3.1,2.17,3.69,3.41,2.2,3.6,2.9,2.1,3.75,3.2,34,2.2,2.1,3.75,3.57,3.5,3.22,29,1.69,1.62,2.31,2.23,14,-0.25,1.91,1.86,2.08,2.01,2.23,3.72,3.26
N1,26/08/17,Vitesse,AZ Alkmaar,1,2,A,0,1,A,2.1,3.4,3.4,2.2,3.7,3.1,2.2,3.3,3.1,2.15,3.5,3,2.22,3.7,3.29,2.05,3.75,3.1,2.2,3.6,3.13,35,2.24,2.16,3.75,3.53,3.4,3.11,29,1.65,1.58,2.46,2.32,14,-0.25,1.95,1.91,2,1.96,2.26,3.64,3.25
N1,26/08/17,Zwolle,Twente,2,0,H,1,0,H,2.05,3.5,3.4,2,3.5,3.8,2,3.3,3.6,1.95,3.5,3.4,2.01,3.77,3.81,2.05,3.6,3.2,2.05,3.6,3.5,35,2.1,2,3.77,3.56,3.81,3.49,29,1.67,1.62,2.37,2.24,14,-0.5,2.05,2.01,1.92,1.87,2.02,3.76,3.78
N1,27/08/17,Feyenoord,Willem II,5,0,H,4,0,H,1.2,6.5,13,1.2,7,14,1.2,6,12,1.18,6.5,15,1.23,7.23,13.77,1.2,6.5,11,1.2,7,13,34,1.23,1.19,7.23,6.69,15.72,12.92,26,1.45,1.41,3,2.79,13,-2,1.96,1.93,1.99,1.95,1.22,6.79,17.93
N1,27/08/17,Groningen,Utrecht,2,1,H,2,0,H,2.8,3.25,2.5,2.8,3.4,2.5,2.65,3.3,2.5,2.55,3.4,2.45,2.74,3.57,2.63,2.62,3.6,2.38,2.7,3.5,2.55,34,2.8,2.66,3.7,3.43,2.63,2.48,28,1.7,1.62,2.3,2.24,13,0,2.02,1.96,1.94,1.89,2.74,3.67,2.58
N1,27/08/17,PSV Eindhoven,Roda,2,0,H,2,0,H,1.08,10,23,1.11,9.75,23,1.12,8,16,1.1,9.5,29,1.13,11.01,21.35,1.08,9.5,19,1.1,10,26,34,1.13,1.1,11.01,9.13,30.45,21.21,26,1.32,1.29,3.6,3.5,14,-2.5,1.92,1.88,2.02,1.98,1.12,10.72,24.44
N1,27/08/17,VVV Venlo,Ajax,0,2,A,0,0,D,6.5,4.5,1.44,6.75,5,1.42,6.5,4.8,1.4,6,4.33,1.44,6.42,5.05,1.49,6,4.5,1.44,6.5,4.8,1.45,34,7,6.16,5.15,4.73,1.49,1.44,27,1.51,1.47,2.7,2.6,13,1.25,2,1.88,2.04,1.98,8.42,5.03,1.41
